Thr_F,Thr_UF,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
0.27,0.69,37,0.5232169759114207,0.0008912345009652849,0.5520512367691361,0.0003967313146295461
0.27,0.71,37,0.5511136497895259,0.00040778333333843985,0.5471899608439784,0.00045707586567739515
0.27,0.73,37,0.5518822174896476,0.00039870368320944495,0.5431586588572623,0.0005131878502373692
0.27,0.75,37,0.5775464400592357,0.00018197765004881875,0.5406687370419375,0.000550835863496438
0.27,0.77,37,0.577101903336735,0.00018456944556726,0.5637894396128098,0.00027930058450774533
0.27,0.79,37,0.5511631199502317,0.0004071933965717723,0.5298790758421971,0.0007439495129214537
0.27,0.81,37,0.5734582124510353,0.00020709527688193862,0.5266777477939225,0.0008117841896868825
0.27,0.83,37,0.4304957139717703,0.007821549564419645,0.41522410463176873,0.01060156507861854
0.27,0.85,37,0.3782765061589486,0.020970410717463223,0.37230259524379034,0.02325830236399843
0.27,0.87,37,0.4229945715955743,0.009097094131376365,0.38487077202590547,0.018665826868655946
0.27,0.89,37,0.5120612846237754,0.0011962612708712878,0.4919374100848682,0.0019850726580722517
0.27,0.91,36,0.21473029530730708,0.20852045128727886,0.45324065979742795,0.005502534732388281
0.27,0.93,36,0.44243718601528675,0.006893057368929209,0.5880157154088755,0.0001624078252656889
0.27,0.95,28,0.14406477898619982,0.4645397695065607,0.24445662016416855,0.20995351816505042
0.29,0.45,37,0.4241663481187198,0.008886854430599295,0.46039840042408847,0.004139380318999274
0.29,0.47,37,0.4322611280731295,0.007544685457598779,0.46869813980850417,0.0034341548101263237
0.29,0.49,37,0.4397126382210732,0.006466661985515798,0.46359972847236314,0.0038537480150020835
0.29,0.51,37,0.4451136996202677,0.005770629799684997,0.47320371261718697,0.0030970244982282606
0.29,0.53,37,0.467883578114661,0.0034983973873001393,0.47427082196661186,0.0030215391651376043
0.29,0.55,37,0.502139219981879,0.0015414894373052231,0.5133981647788574,0.0011554062697393629
0.29,0.57,37,0.5379610369022962,0.0005945495547632897,0.5537111846460194,0.00037781851174259603
0.29,0.59,37,0.5627708098140605,0.0002880879167376055,0.5695992571819009,0.00023361408351439342
0.29,0.61,37,0.5684170242994034,0.0002423266855553362,0.5775432934498416,0.00018199588033032037
0.29,0.63,37,0.5622368986172961,0.00029279192068344125,0.594498475335148,0.00010448168275405891
0.29,0.65,37,0.5663047721905518,0.00025862099087353057,0.597225532561456,9.528057595586481e-05
0.29,0.67,37,0.5200356603433803,0.0009702676591947608,0.5723263144082088,0.00021457863724663344
0.29,0.69,37,0.5652942241841432,0.0002667582531074462,0.5837088141354076,0.00014926541121711235
0.29,0.71,37,0.5944109487852773,0.0001047898332464759,0.594854178451623,0.00010323776557784863
0.29,0.73,37,0.597346745897883,9.488912127738988e-05,0.5726820175246838,0.00021220123554664065
0.29,0.75,37,0.6170854887321189,4.744017311080254e-05,0.5876215484166321,0.00013134482525104822
0.29,0.77,37,0.612398113529534,5.616557087096859e-05,0.6038653240689886,7.585653872300218e-05
0.29,0.79,37,0.580581581841209,0.00016513799752239234,0.5939056368076898,0.00010658493762940861
0.29,0.81,37,0.5965507388379205,9.748655556103908e-05,0.5607066792700269,0.0003066571132103564
0.29,0.83,37,0.45544261908864053,0.004617752761924361,0.45506285367696414,0.0046563086786304666
0.29,0.85,37,0.4062866461511503,0.012588671594242975,0.39376334993777956,0.01589674594138806
0.29,0.87,37,0.4426290659995431,0.0060823586532177025,0.4108370995285776,0.011540792961294555
0.29,0.89,37,0.531664854528976,0.0007083381927163843,0.5069955086823081,0.0013628834082025447
0.29,0.91,36,0.23705282489760604,0.16390575756686696,0.49237305416789606,0.0022850256690078257
0.29,0.93,36,0.4517410621561929,0.005679769490891129,0.5931647146681477,0.00013751758999828087
0.29,0.95,28,0.15321696169961233,0.4363349984337094,0.24281413447437572,0.21312926033410023
0.31,0.45,37,0.44910767948229946,0.005298384472712241,0.47498222819956176,0.0029721113710979015
0.31,0.47,37,0.45734320199377143,0.004428919175485451,0.4785392593643114,0.002735403867702726
